FNV     A32     DJB
1051    978     951
1044    992     1075
1041    1011    985
1034    987     980
992     1020    1046
1010    950     978
944     951     983
959     1004    1071
994     1008    978
932     1012    1006
1021    1004    1026
1040    986     1007
1020    1041    936
1011    1015    979
1016    998     1016
986     999     1014
1057    979     995
1005    949     953
944     1040    983
1014    1058    1028
1018    993     930
993     975     991
1017    1007    1032
999     994     1017
997     970     1026
1030    980     936
1007    1006    988
958     982     1058
1026    912     1058
1016    1039    1011
1011    1022    1012
950     1061    1004
1010    1030    1024
988     965     1000
1020    1019    983
1038    1025    948
1008    936     1016
1043    1058    983
959     1026    985
1031    994     985
1038    991     1048
985     978     995
997     999     999
972     965     1001
1024    1006    927
1016    1001    964
963     961     1029
1036    1013    996
1037    1026    1001
983     1035    982
1014    1041    1019
1020    1005    951
1030    1018    981
958     1016    1040
952     948     998
956     1013    1035
998     948     998
992     1031    1004
1054    947     1002
1015    1017    1007
947     953     1009
953     1016    1037
951     969     977
1017    902     969
986     993     994
1054    989     1016
947     975     971
1016    1021    1008
1026    1014    999
1012    960     1011
1005    983     1033
986     1041    923
998     985     1011
1058    1015    1025
1010    1002    1009
986     976     1017
1015    977     1022
1021    1013    960
968     1015    947
975     969     981
908     1073    1004
993     987     1000
969     1012    1001
1014    1059    1017
994     1020    984
1002    1000    985
962     1012    990
1030    1010    1056
1022    958     1008
989     997     974
944     1041    1012
1002    1035    1077
982     1058    975
966     1022    1038
1022    989     997
1000    1038    1002
1007    1028    994
989     956     1008
970     1000    1001
1030    1002    1004

